"created","hours","lang","by","title","desc","source","source_url","source_ico","image","thumbnail","uri","tag","btn_class_title","btn_class_desc","btn_bg","notice_class"
"03-06-2020","","en_US","The Washington Post","Why it’s so hard to pin down the risk of dying from coronavirus","Scientists are doing their best to make sense of imperfect data.","The Washington Post","www.washingtonpost.com","","https://www.washingtonpost.com/resizer/3St6WwM0lCBUtfpynSLPt18V2Jg=/1440x0/smart/arc-anglerfish-washpost-prod-washpost.s3.amazonaws.com/public/IFN7SWC7ZII6VLCQDBYB4FHANU.jpg","","https://www.washingtonpost.com/opinions/2020/03/06/why-its-so-hard-pin-down-risk-dying-coronavirus/","","","","",""
"04-17-2020","","en_US","Amy Harmon","Why We Don’t Know the True Death Rate for Covid-19","Determining what percentage of those infected by the coronavirus will die is a key question for epidemiologists, but an elusive one during the pandemic.","The New York Times","www.nytimes.com","","https://static01.nyt.com/images/2020/04/16/us/16virus-deathrate01/16virus-deathrate01-facebookJumbo.jpg","","https://www.nytimes.com/2020/04/17/us/coronavirus-death-rate.html","","","","",""
"04-23-2020","","en_US","Bill Gates","The first modern pandemic","The coronavirus pandemic pits all of humanity against the virus. The damage to health, wealth, and well-being has already been enormous. This is like a world war, except in this case, we’re all on the same side. Everyone can work together to learn about the disease and develop tools to fight it. I see global innovation as the key to limiting the damage. This includes innovations in testing, treatments, vaccines, and policies to limit the spread while minimizing the damage to economies and well-being.","The Blog Of Bill Gates","www.gatesnotes.com","","https://media.gatesnotes.com/-/media/Images/Articles/Health/Pandemic-Innovation/pandemic-1_2020_long-version_blogroll_800px.ashx","","https://www.gatesnotes.com/Health/Pandemic-Innovation?WT.mc_id=20200423090000_Pandemic-Innovation_BG-TW_&WT.tsrc=BGTW","","","","",""
"11-02-2020","","en_US","Kate Wighton, Dr Sabine L. van Elsland","Coronavirus fatality rate estimated by Imperial scientists","Imperial researchers have released estimates on the proportion of people who may die from the disease.","Imperial College London","https://www.imperial.ac.uk","","https://www.imperial.ac.uk/ImageCropToolT4/imageTool/uploaded-images/newseventsimage_1581361291945_mainnews2012_x1.jpg","","https://www.imperial.ac.uk/news/195217/coronavirus-fatality-rate-estimated-imperial-scientists/","","","","",""
"03-26-2020","","es_CO","Juana Salcedo, Juan Manuel Toro, María Isabel Magaña","La importancia de hacer pruebas, pruebas y más pruebas","El virus no ha seguido el mismo patrón de contagio en todos los países. Al menos tres variables (pruebas, demografía, capacidad del sistema de salud) afectan la tasa de mortalidad. Aquí te explicamos cómo entenderlas.","Universidad de la Sabana","www.unisabanamedios.com","","https://colombiacheck.com/sites/default/files/2020-04/2420-cifras-coronavirus-colombia.jpg","","https://www.unisabanamedios.com/la-importancia-pruebas-coronavirus","","","","",""
"04-21-2020","","es_CO","Camilo Egaña","Cómo se hace el conteo de enfermos y muertos en la Universidad Johns Hopkins?","Camilo conversó con la Dra. Kathleen Page, médico infectóloga del Hospital Johns Hopkins y profesora asociada en la escuela de medicina, sobre cómo se hace el conteo mundial de enfermos y muertos por coronavirus.","CNN espanol","https://cnnespanol.cnn.com","","https://cdn.cnn.com/cnnnext/dam/assets/200129084211-coronavirus-map-tracking-real-time-trnd-story-tablet.jpg","","https://cnnespanol.cnn.com/video/como-se-hace-conteo-enfermos-muertos-universidad-johns-hopkins-kathleen-page-intv-camilo-cnne/","","","","",""
"04-22-2020","","es_CO","CNN espanol","Como se propaga el covid-19 en el aire en espacios cerrados","Un estudio científico preliminar sobre la propagación del coronavirus indica que las partículas de aerosol que transportan el covid-19 pueden permanecer en el aire más tiempo de lo que se pensaba originalmente.","CNN espanol","https://cnnespanol.cnn.com","","https://cdn.cnn.com/cnnnext/dam/assets/200416150343-cnne-pkg-covid-19-propagacion-en-el-aire-en-espacios-cerrados-michael-roa-00000000-super-tease.jpg","","https://edition.cnn.com/videos/spanish/2020/04/16/cnne-pkg-covid-19-propagacion-en-el-aire-en-espacios-cerrados-michael-roa.cnn","","","","",""
"04-14-2020","","en_US","The New York Times","This 3-D Simulation Shows Why Social Distancing Is So Important","We visualized a cough to show how far respiratory droplets can spread. If you haven’t been keeping your distance to fight the coronavirus, this may persuade you.","The New York Times","www.nytimes.com","","https://static01.nyt.com/images/2020/04/13/science/cough-image-still-promo/cough-image-still-promo-facebookJumbo-v2.jpg","","https://www.nytimes.com/interactive/2020/04/14/science/coronavirus-transmission-cough-6-feet-ar-ul.html","","","","",""
"04-27-2020","","es_CO","Ministerio de Salud","Expertos evaluarán nueve variables para tomar decisiones sobre el aislamiento","El ministro de Salud y Protección Social, Fernando Ruiz Gómez, explicó esta noche en el programa Prevención y Acción con el presidente Iván Duque, las nueve variables para tomar decisiones relacionadas con el endurecimiento o la flexibilización del aislamiento obligatorio. ","Ministerio de Salud","www.minsalud.gov.co","","https://www.minsalud.gov.co/fotos_carrusel_2020/nuevas-variables.jpg","","https://www.minsalud.gov.co/Paginas/Expertos-evaluaran-nueve-variables-para-tomar-decisiones-sobre-el-aislamiento.aspx","","","","",""
"03-22-2020","","en_US","The New York Times","How the Virus Got Out","The most extensive travel restrictions to stop an outbreak in human history haven’t been enough. We analyzed the movements of hundreds of millions of people to show why.","The New York Times","www.nytimes.com","","https://media.gatesnotes.com/-/media/Images/Articles/Health/Pandemic-Innovation/pandemic-1_2020_long-version_blogroll_800px.ashx","","https://www.nytimes.com/interactive/2020/03/22/world/coronavirus-spread.html","","","","",""
